ID,MINORITY,UNINSURED,HOMELESS,MIGRANT,IMMUNIZATION,EHR_IMMUNIZATION,IMMUNIZATION_PRED,IMMUNIZATION_DIFF,Recalculated Predicted,A-P ,Quartile Rank,A-P (Model),Quartile Rank (Model),,,,,
010030,81.60940435,3.724404513,15.66025909,0.235060593,50.54945055,1,33.58460975,16.9648408,33.58460975,16.9648408,1,16.9648408,1,25th ,50th ,75th,,
010060,91.38342278,13.9952378,0.651669904,0.01879817,55.83804143,1,34.49333965,21.34470178,34.49333965,21.34470178,1,21.34470178,1,-12.80830974,-1.645032683,10.93451927,Variable,BETA
010070,77.5470009,10.37113323,4.207193806,0.030514552,53.58649789,1,33.13928291,20.44721498,33.13928291,20.44721498,1,20.44721498,1,,,,Intercept,18.71839895
010150,20.40869115,15.41977388,5.412557133,0.632324135,48.23529412,1,27.67474462,20.56054949,27.67474462,20.56054949,1,20.56054949,1,,,,MINORITY,0.098056269
010160,27.97596117,1.181161601,0.842612098,0.030093289,84.12698413,0,21.46852953,62.65845459,21.46852953,62.65845459,1,62.65845459,1,,,,UNINSURED,0.0000
010170,41.5394474,17.38682421,0.779693618,2.510819537,52.83018868,1,30.17822422,22.65196446,30.17822422,22.65196446,1,22.65196446,1,,,,HOMELESS,0.0000
010220,42.95469687,8.862006678,7.728939734,2.616454103,30.86419753,1,30.34126178,0.522935753,30.34126178,0.522935753,2,0.522935753,2,,,,MIGRANT,0.229692588
010460,3.919904317,7.155970321,0.428363803,0.764935363,12.04819277,1,26.08837552,-14.04018275,26.08837552,-14.04018275,4,-14.04018275,4,,,,EHR_IMMUNIZATION,6.809905395
010480,5.677499418,2.971576227,0.209179279,0,22.85714286,0,19.27511336,3.582029499,19.27511336,3.582029499,2,3.582029499,2,Model,,,,
010570,4.263093788,19.71009036,0.075301205,1.807228916,44.28571429,0,19.55152911,24.73418518,19.55152911,24.73418518,1,24.73418518,1,25th ,50th ,75th,,
010580,89.38989789,9.023988222,0.923362512,0.308854358,67.5179569,1,34.3644858,33.15347111,34.3644858,33.15347111,1,33.15347111,1,-12.80830974,-1.645032683,10.93451927,,
010640,4.79006505,6.753935809,0.260937636,0.482734626,37.90322581,1,26.10888082,11.79434499,26.10888082,11.79434499,1,11.79434499,1,,,,,
010700,80.09272035,27.96766379,1.190225406,0.052664841,41.36363636,1,33.39399442,7.969641945,33.39399442,7.969641945,2,7.969641945,2,,,,,
010710,98.33018532,0.440227496,0,0,82.90909091,1,35.17019547,47.73889544,35.17019547,47.73889544,1,47.73889544,1,,,,,
010720,81.7425393,24.23246953,1.345773392,0.49336883,77.51243781,1,33.65699595,43.85544186,33.65699595,43.85544186,1,43.85544186,1,,,,,
010760,58.91215526,20.07651781,2.67185148,1.12895133,52.66903915,1,31.56432225,21.10471689,31.56432225,21.10471689,1,21.10471689,1,,,,,
010800,75.30972046,8.725465298,9.16083155,0.010884156,45.07772021,1,32.91539458,12.16232563,32.91539458,12.16232563,1,12.16232563,1,,,,,
010810,90.13653184,27.29142857,10.23238095,0.697142857,54.13333333,1,34.52688493,19.60644841,34.52688493,19.60644841,1,19.60644841,1,,,,,
010830,79.59602541,28.13815538,2.175022324,0.035081005,33.25892857,1,33.34125149,-0.082322918,33.34125149,-0.082322918,2,-0.082322918,2,,,,,
010840,79.48626259,12.90885751,0.364569961,0.400513479,28.47682119,1,33.41442569,-4.937604495,33.41442569,-4.937604495,3,-4.937604495,3,,,,,
010850,4.28956683,8.061804499,0.144103755,0.264190217,44.16666667,1,26.0096058,18.15706087,26.0096058,18.15706087,1,18.15706087,1,,,,,
010860,48.67702646,26.98547045,2.172379743,0.338552687,27.5862069,0,23.5692496,4.016957293,23.5692496,4.016957293,2,4.016957293,2,,,,,
011190,7.372971693,2.344444444,0.472222222,1.505555556,24.69135802,1,26.59708539,-1.905727366,26.59708539,-1.905727366,3,-1.905727366,3,,,,,
0112210,56.92186363,4.902956745,1.513126236,1.347377426,53.125,0,24.60942714,28.51557286,24.60942714,28.51557286,1,28.51557286,1,,,,,
0112220,3.70554177,3.184810902,0.70433318,1.944572041,46.66666667,0,19.52840433,27.13826233,19.52840433,27.13826233,1,27.13826233,1,,,,,
0112230,4.219525018,3.913195813,0.210222047,0,51.00806452,1,25.94205522,25.06600929,25.94205522,25.06600929,1,25.06600929,1,,,,,
